id,Title,label
42,40대처럼 살고픈 60대…女심리 읽어낸 백화점,1
1752,"'포뮬러 E' 글로벌 홍보대사 방탄소년단, 새해 인사 영상 공개",1
43,"현대그린푸드, 이천 호텔서 뷔페 레스토랑 운영",1
1753,플러그인 72% 사라졌다.. KT·SKT는 아직,-1
44,"시몬스 침대, 현대백화점 압구정본점 팝업 스토어 오픈",1
5982,다음주 '개포프레지던스자이' 등 4336가구 분양 나선다,1
45,"파인드카푸어의 새로운 하우스 프린트, ‘FKR 모노그램’ 첫 공개",1
46,"현대百면세점, 시각장애인 위한 '사랑나눔 선물 박스' 전달",1
5472,남다른 재물福…쥐띠생 '주식 갑부' 유난히 많네,0
1754,"현대차, 새해맞이 '2020 영동대로 카운트다운' 행사",1
5473,100억 이상 '쥐띠 큰손' 누구?…1위는 넘사벽 최태원,0
47,"신한카드, 현대백화점과 '신한  탑스 컬쳐 클래스' 오픈",1
48,"현대백화점, '2020년 설 선물세트' 본판매 진행",1
1755,"현대리바트, 올해 온라인사업 매출 10% 성장",1
49,마켓 4.0시대 대응하는 유통 3社…컨설팅사 출신 CEO도 구원투수 등판(종합),1
1756,립밤부터 세럼까지…뷰티업계도 '비거니즘' 열풍 거세진다,0
5983,다음주 '호반써밋송파' 등 9000가구 분양 나선다,1
50,10살 이상 어려진 유통가 수장들…롯데도 '쇄신' 물결 합류,1
1757,"[아경 히트상품] 그로바나, 전통의 스위스 메이드 워치",1
6514,강남구 ‘Winter Festival 2019’ 개최,1
6799,강남구 ‘Winter Festival 2019’ 개최,1
51,"GS건설, 개포프레지던스자이 견본주택 27일 오픈…'예약제' 운영",1
52,"두타 자리 곧 들어설 현대百면세점, 동대문 살려낼까",1
5984,"GS건설, 개포프레지던스자이 견본주택 27일 오픈…'예약제' 운영",1
1758,"소탈했던 큰 형님, 겨울비 맞으며 上南다리 건넜다(종합)",0
1759,"'연말 홈파티가 대세' 현대백화점, 홈파티용품 매출 '껑충'",1
6515,성북구립실버합창단 제6회 정기연주회 개최,1
6800,성북구립실버합창단 제6회 정기연주회 개최,1
53,"유진그룹, '에이스하드웨어' 일산점 오픈…""수도권 매장 확대""",1
1760,구자경 LG회장 마지막길…최태원·정의선 등 조문 행렬(종합),-1
1761,연말연시 숨가쁜 재계…뒤숭숭한 인사철·내년 경영 전략 새판짜기,0
1762,"유진그룹, '에이스하드웨어' 일산점 오픈…""수도권 매장 확대""",1
6516,"유진그룹, '에이스하드웨어' 일산점 오픈…""수도권 매장 확대""",1
1763,"현대百, 설 선물세트 예약판매 실시…최대 30% 할인",1
5985,다음주 '청주가경아이파크4단지' 등 1만4370가구 분양 나선다,1
1764,"""'정기세일' 명칭 붙일까 말까""…새해 앞두고 백화점들은 '고민중'",0
5986,강남 삼성동 한복판…교통ㆍ교육ㆍ문화ㆍ자연 多 갖춘 ‘브르넨 삼성’,1
1765,"""굴과 와인의 조합은 진리""…현대百, 오이스터바 '펄쉘' 특별메뉴",1
1766,"현대백화점, 연말 모임용 먹거리 인기 … ""홈파티·홈외식 고객 잡아라""",1
54,"하이트진로, 자연 담은 와인 ‘제라르 베르트랑 나뚜라에’ 출시",1
55,"한섬 타미힐피거, 모던 베이직 스타일 '헤리티지 스니커즈' 출시",1
56,"대기업 브랜드 수입 1조2854억원…공정위 ""총수일가 사익편취 여부 따질것""",-1
