,Unnamed: 0,Title,Date,Category
0,23610,"개미는 올해도 슬프다…순매수 톱10, 상승 종목 '0'",2019.12.31,5
1,23611,인공지능 핵심 역량 보유… 내년 3배 예상 TOP-PICK,2019.12.31,5
2,23609,"파크시스템스, 삼성전자와 반도체 생산 공정용 원자현미경 납품 계약 체결",2019.12.31,5
3,7106,"""올해보다 더 세진다""…2020 삼성 갤럭시 라인업",2019.12.30,4
4,23612,"코스피, 전년 대비 7.7% 상승하며 2019년 마감…일평균 거래대금 24%↓",2019.12.30,5
5,23613,"코스피, 외국인 매도에 하락 마감...2200선 붕괴",2019.12.30,5
6,23614,5G 테마! “재이슈” 2차 급등 유망株 TOP5,2019.12.30,5
7,23615,엔케이물산 다음주 추가반등 재료,2019.12.30,5
8,23616,최고가 SK하이닉스 ‘더 뛴다’,2019.12.30,5
9,23617,【주목할테마】 전세계 디스플레이 시장 흔든다 '마이크로 LED' 주목!,2019.12.30,5
10,23618,"'시총 톱10' 지킨 종목 절반 불과…""변동성 커진 탓""",2019.12.30,5
11,23619,"멀티캠퍼스, 삼성전자와 610억 규모 운영계약 체결",2019.12.30,5
12,23620,[e공시 눈에 띄네]코스피-27일,2019.12.30,5
13,41,인사팀에서 말해주지 않는 연봉협상 꿀팁은,2019.12.30,2
14,7091,"""올해보다 더 세진다""…2020 삼성 갤럭시 라인업",2019.12.30,4
15,7092,"삼성전자, 국내 스타트업 세계 시장 진출 돕는다",2019.12.29,4
16,7107,"삼성전자, 국내 스타트업 세계 시장 진출 돕는다",2019.12.29,4
17,23622,월요일 100% 터질 삼성이 8조 5000억원 투자 핵심 반도체  > 종목확인,2019.12.29,5
18,23621,"""통신업계, 중저가 등 5G 요금제 다양화로 내년 본격 반등""",2019.12.29,5
19,7108,"고사양 그래픽 D램, 메모리 가격 상승 이끈다",2019.12.28,4
20,7109,[스마트폰 결산]세상에 나온 폴더블 폰…에어팟 덕에 선에서 해방,2019.12.28,4
21,7093,"고사양 그래픽 D램, 메모리 가격 상승 이끈다",2019.12.28,4
22,7094,[스마트폰 결산]세상에 나온 폴더블 폰…에어팟 덕에 선에서 해방,2019.12.28,4
23,7112,'갤럭시S11' 세 모델 모두 6인치대…2월11일 공개설도,2019.12.27,4
24,7096,"박용만 대한상의 회장 ""새로운 기회 수용 위해 법·제도 개선돼야""",2019.12.27,4
25,23628,외인+기관 연말 물량 쓸어담는 “황제 바이오 종목” 20년엔 2000%수직 상승한다!,2019.12.27,5
26,23625,5G 재이슈! “실적테마” 2차 급등 유망株 TOP5,2019.12.27,5
27,23624,"코스피, 배당락에도 2200선 상승 마감…코스닥 1%대 상승",2019.12.27,5
28,23623,"이상훈 삼성전자 의장, 자사주 1만2500주 처분",2019.12.27,5
29,7097,'갤럭시S11' 세 모델 모두 6인치대…2월11일 공개설도,2019.12.27,4
30,23627,부실사업 걷어낸 삼성전기 ‘껑충’,2019.12.27,5
31,7095,내년 1월 정식 업데이트 'One UI 2.0' 어떻게 진화하나,2019.12.27,4
32,23626,엔케이물산 다음주 추가반등 재료,2019.12.27,5
33,7111,"박용만 대한상의 회장 ""새로운 기회 수용 위해 법·제도 개선돼야""",2019.12.27,4
34,7110,내년 1월 정식 업데이트 'One UI 2.0' 어떻게 진화하나,2019.12.27,4
35,1575,"홍남기 ""내년도 최저임금 3%미만 인상, 큰 문제 없을 것""(종합)",2019.12.27,3
36,1576,"홍남기 만난 박용만 ""산업 펀더멘탈 혁신·경제 법안 처리 당부""",2019.12.27,3
37,32576,삼성스마트시티 배후수요 누리는 ‘에이스 스마트윙 영통 지식산업센터’ 분양 문의 급증,2019.12.26,6
38,7100,타사 가전 품는 삼성 AI 스피커…이통사 천하 속 차별화 승부수,2019.12.26,4
39,23630,5G 재이슈! “실적테마” 2차 급등 유망株 TOP10,2019.12.26,5
40,23629,"코스피, 배당 막차타기로 상승 마감…2190선 마감",2019.12.26,5
41,7101,하현회 부회장 CES 2020 간다…DT 전략 점검·5G 협력 논의,2019.12.26,4
42,23631,"키움증권, 조기상환형 ELS 3종 청약 진행",2019.12.26,5
43,23632,"[클릭 e종목]""테스, 단기 실적 바닥통과…2020년 회복 기대""",2019.12.26,5
44,7117,"삼성전자서비스, 겨울철 세탁기·김치냉장고 등 무상점검 실시",2019.12.26,4
45,7116,하현회 부회장 CES 2020 간다…DT 전략 점검·5G 협력 논의,2019.12.26,4
46,7115,타사 가전 품는 삼성 AI 스피커…이통사 천하 속 차별화 승부수,2019.12.26,4
47,7098,"먼지·알레르기 철벽방어, 우리집 건강지킴이 '삼성 무풍큐브'",2019.12.26,4
48,7113,"먼지·알레르기 철벽방어, 우리집 건강지킴이 '삼성 무풍큐브'",2019.12.26,4
49,7099,"반도체 반등신호, 삼성전자 실적 기대감 커진다",2019.12.26,4
50,1577,"檢, '3명 사상' 삼성전자 이산화탄소 누출 관련 직원 13명 기소",2019.12.26,3
51,7102,"삼성전자서비스, 겨울철 세탁기·김치냉장고 등 무상점검 실시",2019.12.26,4
52,7114,"반도체 반등신호, 삼성전자 실적 기대감 커진다",2019.12.26,4
53,23633,"""무르익는 8K TV시장…2020년 본격경쟁 시작""",2019.12.25,5
54,1578,"쑥쑥 커가는 고화질 TV 시장, 삼성·LG 日경쟁사 압도",2019.12.25,3
55,34071,"성탄절에 '구속 1000일' 박근혜, 독방서 하루 보낼듯…연내 특사는 희박",2019.12.25,8
56,23634,"""2020년, 소프트웨어보다 하드웨어 주가 상승 높을 것""",2019.12.25,5
57,7119,"""갤럭시폴드2에 플라스틱 대신 '울트라씬 글라스' 적용""",2019.12.25,4
58,7122,"KT, 기업 전용 5G망에 CUPS 기술 적용",2019.12.25,4
59,7118,"삼성전자, 업계 최초 8K HDMI 2.1 인증 획득",2019.12.25,4
60,7121,"쑥쑥 커가는 고화질 TV 시장, 삼성·LG 日경쟁사 압도",2019.12.25,4
61,7120,"대기업들, 매출 감소에도 R&D 투자금액 4조원 늘려",2019.12.25,4
62,7103,"삼성전자, 업계 최초 8K HDMI 2.1 인증 획득",2019.12.25,4
63,7104,"""갤럭시폴드2에 플라스틱 대신 '울트라씬 글라스' 적용""",2019.12.25,4
64,7105,"대기업들, 매출 감소에도 R&D 투자금액 4조원 늘려",2019.12.25,4
65,1579,(주)아이넷방송 박준희 회장 서울대학교 발전위원회 협력위원으로 위촉,2019.12.24,3
66,7125,스마트폰 전송 속도…삼성이 애플·화웨이 눌렀다,2019.12.24,4
67,7124,"삼성전자, 올 R&D 투자 20조원",2019.12.24,4
68,7123,무선 선입견 깬 '삼성 제트' 청소기,2019.12.24,4
69,23638,코스피 2200선에서 개장…박스권 내 등락,2019.12.24,5
70,23637,코스피 2200 아래로 떨어져…'숨고르기' 국면,2019.12.24,5
71,23636,"【오늘의 종목】 5G관련주 ""고수익"" 릴레이만 남았다 관련종목은?",2019.12.24,5
72,23635,코스피 2200선 무너진채 마감…전일 대비 13P 하락,2019.12.24,5
73,7126,삼성전자 24일 성과급 지급…반도체 사업부 100%,2019.12.23,4
74,7127,뇌 닮은 인공지능 나온다.. 원리 규명,2019.12.23,4
75,23639,"코스피, 개인 매도 행렬에 하락 마감...2200선 턱걸이",2019.12.23,5
76,23640,부진 턴 'IT·반도체' 증시 호령,2019.12.23,5
77,23641,인탑스 '인탑스 평산 장학재단' 2019년 장학사업 시행,2019.12.23,5
78,23642,5G 재이슈! “실적테마” 2차 급등 유망株 TOP10,2019.12.23,5
79,23643,코스피 2200선 유지하며 개장… 박스권 내 등락 나타나,2019.12.23,5
80,23644,"[클릭 e종목]""삼성전자, 내년 1분기까지 D램 수요 견조 지속…목표가↑""",2019.12.23,5
81,7128,'통신가입자 12억명' 인도와 '5G 협력' 강화한다,2019.12.23,4
82,34072,전국법원 내달 3일까지 동계휴정… 국정농단·조국일가 재판 올스톱,2019.12.23,8
83,1580,'자상한 기업' 도움에 매출 50% 증가…내년 12개사 추가 선정,2019.12.22,3
84,7129,티몬·위메프·쿠팡…겨울철 실내생활 필수품 최저가 세일 이모저모,2019.12.22,4
85,34073,'자상한 기업' 도움에 매출 50% 증가…내년 12개사 추가 선정,2019.12.22,8
86,23645,"외국인, 2주 연속 순매수 지속…반도체 9000억 사들여",2019.12.22,5
87,23646,월요일 100% 터질 삼성이 834조원 투자 받은 핵심 반도체  > 종목확인,2019.12.22,5
88,7130,'자상한 기업' 도움에 매출 50% 증가…내년 12개사 추가 선정,2019.12.22,4
89,1581,"연말 카드사 CEO 인사, '변화'보단 '안정'에 무게추",2019.12.21,3
90,7132,"전자업계, AI·빅데이터 육성 강화 잰걸음",2019.12.21,4
91,7131,'갤럭시 버즈 플러스' 출시 임박…국내외 전파인증 통과,2019.12.21,4
92,23653,[클릭 e종목] 삼성전자 내년 영업익 39兆 전망…전년比44% ↑,2019.12.20,5
93,23647,삼성 ‘반도체+바이오’ 투자 수혜! 美 FDA 임상2상 임박!,2019.12.20,5
94,23648,삼성전자 AI반도체 폭주! 정부 1조원투자 3000% 급등 종목 긴급공개!,2019.12.20,5
95,23649,【오늘의 종목】 5G 시대 활짝...지금 잡아야 할 '관련주'는?,2019.12.20,5
96,23650,"효성ITX, 모바일 기반 '스마트 컨택센터' 첫 선",2019.12.20,5
97,23651,코스피 2200선 회복하며 개장…코스닥도 650선까지 올라,2019.12.20,5
98,7136,"애플, 스마트폰 영업이익 66% 쓸어담아…삼성은 17%",2019.12.20,4
99,7138,"박용만 상의 회장, CES 첫 참석한다",2019.12.20,4
100,7137,"""세로로 접는다?""...차기 갤폴드 추정 이미지 공개",2019.12.20,4
101,7135,車·통신·중공업까지…CES 총출동하는 CEO,2019.12.20,4
102,7134,열차 타러 가는 이재용이 입은 '빨간 패딩'...100만 원대?,2019.12.20,4
103,7133,"중기부, ‘자상한 기업의 밤’ 감사 행사",2019.12.20,4
104,32577,지식산업센터 평균 연면적 2011년 이후 최대... 더랜드 ‘현대 실리콘앨리 동탄’ 등 분양 이어져,2019.12.20,6
105,23652,"[클릭 e종목]""2020년 증시 트렌드 '반도체, EPC, 중국 소비재'",2019.12.20,5
106,7140,[아경 히트상품]삼성전자 '에어드레서'…에어·스팀·건조·청정 4단계 의류 관리,2019.12.19,4
