,Date,Close,RateofChange,Label,Title,Category
0,2014-01-06,40250,-0.011056511056511056,-1.0,"'마이 웨이' 김연아, 끝나지 않은 여왕의 진화",11
1,2014-01-06,40250,-0.011056511056511056,-1.0,"김연아, 올림픽 2연패 향한 완벽한 소치 리허설",11
2,2014-01-06,40250,-0.011056511056511056,-1.0,"'성공 리허설' 김연아 ""이제 정말 1경기만 남았다""",11
3,2014-01-06,40250,-0.011056511056511056,-1.0,"김연아, 마지막 국내 무대 227.86점 우승…올림픽 2연패 보인다",11
4,2014-01-06,40250,-0.011056511056511056,-1.0,"'쇼트 80.60점' 김연아 ""올림픽 무결점 연기 기대""",11
5,2014-01-07,40300,0.0012422360248447205,1.0,"박인비, 차움 명예회원 위촉",4
6,2014-01-07,40300,0.0012422360248447205,1.0,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감",5
7,2014-01-07,40300,0.0012422360248447205,1.0,"코스피 상승세 지속, 1960선 등락…車↑",5
8,2014-01-07,40300,0.0012422360248447205,1.0,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락",5
9,2014-01-07,40300,0.0012422360248447205,1.0,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?""",5
10,2014-01-08,40750,0.011166253101736972,1.0,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감",5
11,2014-01-08,40750,0.011166253101736972,1.0,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑",5
12,2014-01-08,40750,0.011166253101736972,1.0,코스피 1960 전후 '혼조'…電↓·車↑,5
13,2014-01-08,40750,0.011166253101736972,1.0,"기관 '팔자' 코스피, 대형주 중심 약세…1950선",5
14,2014-01-08,40750,0.011166253101736972,1.0,"""은행, 이익 증가세 전환 예상..하나금융·KB금융 최선호주""",5
15,2014-01-09,40600,-0.0036809815950920245,-1.0,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회",5
16,2014-01-09,40600,-0.0036809815950920245,-1.0,"코스피 약세, 1950선…장 중 변동폭 10p '미미'",5
17,2014-01-10,39600,-0.024630541871921183,-1.0,"전범기업 파나소닉 모델, 골퍼 박인비 보는 두 시선",4
18,2014-01-10,39600,-0.024630541871921183,-1.0,"코스피, 4개월 만에 1930선으로 '미끌'…外人 '팔자'",5
19,2014-01-10,39600,-0.024630541871921183,-1.0,"코스피 약세 지속, 1940 전후 등락…조선株↓",5
20,2014-01-10,39600,-0.024630541871921183,-1.0,"코스피 약세, 1930선으로 '미끌'…조선株↓",5
21,2014-01-13,39850,0.006313131313131313,1.0,차순관 KB저축은행 신임대표 취임,3
22,2014-01-13,39850,0.006313131313131313,1.0,"예한솔저축은행, KB금융지주 자회사에서 제외",5
23,2014-01-13,39850,0.006313131313131313,1.0,"코스피, 개인·기관vs외국인 매매공방…1950선",5
24,2014-01-13,39850,0.006313131313131313,1.0,"코스피, 투신 매수세에 1950선 회복…電·車 ↑",5
25,2014-01-13,39850,0.006313131313131313,1.0,"코스피, 기관 '사자' 4거래일만에 반등…1940선 회복",5
26,2014-01-14,39300,-0.013801756587202008,-1.0,"현대상선, 신한금융 주식 208만주 매각해 930억 확보",4
27,2014-01-14,39300,-0.013801756587202008,-1.0,"코스피, 기관·外人 동반 '팔자' 약세지속",5
28,2014-01-14,39300,-0.013801756587202008,-1.0,"코스피, 외국인 '팔자'전환에 약보합…1940선 후퇴",5
29,2014-01-14,39300,-0.013801756587202008,-1.0,"1등보다 2·3등株, 내리사랑 큰 손들",5
30,2014-01-14,39300,-0.013801756587202008,-1.0,"코스피, 外人·기관 동반 매수에 상승 전환…1950선 회복",5
31,2014-01-14,39300,-0.013801756587202008,-1.0,"장 종료 후 ""이 공시 눈에 띄네""(코스피-13일)",5
32,2014-01-15,40000,0.017811704834605598,1.0,LIG손보 인수전 불 붙었다,3
33,2014-01-15,40000,0.017811704834605598,1.0,"KB금융, 축하난 안받기 운동",3
34,2014-01-15,40000,0.017811704834605598,1.0,"동양증권 인수, KB금융은 부인…결국 유안타?",5
35,2014-01-15,40000,0.017811704834605598,1.0,"KB금융지주 ""비은행부문 M&A 지속 검토""",5
36,2014-01-15,40000,0.017811704834605598,1.0,"코스피, 기관·外人 동반 '팔자'에도 강세…電↓",5
37,2014-01-15,40000,0.017811704834605598,1.0,"KB투자證, 원금비보장형 KB STAR ELS 1종 공모",5
38,2014-01-15,40000,0.017811704834605598,1.0,"코스피, 美 경제지표 호조에 상승..1950선 회복",5
39,2014-01-15,40000,0.017811704834605598,1.0,"KB금융지주, LIG손해보험 인수추진 조회공시 요구",5
40,2014-01-16,39500,-0.0125,-1.0,"""좁은 박스 갇힌 코스피"", 강보합 마감…1950선",5
41,2014-01-16,39500,-0.0125,-1.0,"투자자 짙은 관망, 코스피 1950선 강보합권 '정체'",5
42,2014-01-16,39500,-0.0125,-1.0,"기관 '사자' 전환, 코스피 1950 강보합…삼성電 상승반전",5
43,2014-01-16,39500,-0.0125,-1.0,꽉막힌 증시…외국인·기관 동반구애株 '눈길가네',5
44,2014-01-16,39500,-0.0125,-1.0,"코스피, 투자자 관망 속 상승세…1960 회복 시도",5
45,2014-01-16,39500,-0.0125,-1.0,"[특징주]동양證, KB금융 인수 추진 부인↓",5
